Demographics, US by State, Income, Median Family Income (Both Sexes - 2017 to 2021), 2017 - 2021
Area,State FIPS,Dollars
"District of Columbia","11","127629"
"Massachusetts","25","112543"
"Maryland","24","111378"
"New Jersey","34","110115"
"Connecticut","9","106441"
"New Hampshire","33","104193"
"Hawaii","15","103593"
"Colorado","8","99270"
"Virginia","51","98771"
"Washington","53","98691"
"Minnesota","27","98356"
"Alaska","2","96658"
"California","6","95971"
"Rhode Island","44","95198"
"New York","36","92731"
"North Dakota","38","92066"
"Illinois","17","91408"
"Utah","49","90665"
"Delaware","10","89545"
"Vermont","50","88607"
"Pennsylvania","42","86142"
"Oregon","41","86066"
"Wyoming","56","85901"
"Wisconsin","55","85623"
"Nebraska","31","85162"
"Iowa","19","83979"
"Kansas","20","82260"
"South Dakota","46","81756"
"Maine","23","81740"
"Texas","48","80498"
"Michigan","26","80365"
"Ohio","39","79470"
"Arizona","4","78845"
"Georgia","13","78834"
"Nevada","32","78456"
"Missouri","29","77976"
"Indiana","18","77860"
"Montana","30","77152"
"Idaho","16","75851"
"North Carolina","37","75815"
"Florida","12","74237"
"Tennessee","47","73248"
"South Carolina","45","72899"
"Oklahoma","40","71155"
"Alabama","1","70878"
"Kentucky","21","70178"
"Louisiana","22","69093"
"New Mexico","35","66533"
"West Virginia","54","65845"
"Arkansas","5","65673"
"Mississippi","28","62802"

"undefined"