Demographics, US by State, Income, Median Household Income (Both Sexes - 2017 to 2021), 2017 - 2021
Area,State FIPS,Dollars
"District of Columbia","11","93547"
"Maryland","24","91431"
"New Jersey","34","89703"
"Massachusetts","25","89026"
"Hawaii","15","88005"
"California","6","84097"
"Connecticut","9","83572"
"New Hampshire","33","83449"
"Washington","53","82400"
"Virginia","51","80615"
"Alaska","2","80287"
"Colorado","8","80184"
"Utah","49","79133"
"Minnesota","27","77706"
"New York","36","75157"
"Rhode Island","44","74489"
"Delaware","10","72724"
"Illinois","17","72563"
"Oregon","41","70084"
"North Dakota","38","68131"
"Wyoming","56","68002"
"Vermont","50","67674"
"Pennsylvania","42","67587"
"Texas","48","67321"
"Wisconsin","55","67080"
"Nebraska","31","66644"
"Arizona","4","65913"
"Nevada","32","65686"
"Iowa","19","65429"
"Georgia","13","65030"
"Kansas","20","64521"
"South Dakota","46","63920"
"Idaho","16","63377"
"Michigan","26","63202"
"Maine","23","63182"
"Indiana","18","61944"
"Ohio","39","61938"
"Florida","12","61777"
"Missouri","29","61043"
"Montana","30","60560"
"North Carolina","37","60516"
"Tennessee","47","58516"
"South Carolina","45","58234"
"Oklahoma","40","56956"
"Kentucky","21","55454"
"Alabama","1","54943"
"New Mexico","35","54020"
"Louisiana","22","53571"
"Arkansas","5","52123"
"West Virginia","54","50884"
"Mississippi","28","49111"

"undefined"