Mortality, US by State, All Races, Small Intestine (Both Sexes), 2016 - 2020
Area,State FIPS,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"South Dakota","46","0.72","0.51","1.00","40"
"Maine","23","0.61","0.46","0.80","61"
"Delaware","10","0.56","0.40","0.78","40"
"Oregon","41","0.56","0.48","0.67","151"
"District of Columbia","11","0.55","0.33","0.87","19"
"Washington","53","0.55","0.48","0.63","242"
"Wisconsin","55","0.53","0.46","0.61","198"
"Iowa","19","0.52","0.43","0.64","107"
"Virginia","51","0.50","0.44","0.56","249"
"Maryland","24","0.50","0.43","0.58","180"
"North Carolina","37","0.49","0.43","0.54","306"
"Idaho","16","0.49","0.36","0.64","52"
"Ohio","39","0.49","0.44","0.54","373"
"South Carolina","45","0.49","0.42","0.58","163"
"Kansas","20","0.47","0.37","0.59","82"
"Arkansas","5","0.46","0.36","0.57","83"
"Indiana","18","0.46","0.39","0.53","186"
"Tennessee","47","0.45","0.39","0.52","188"
"Pennsylvania","42","0.45","0.41","0.50","402"
"Michigan","26","0.45","0.39","0.50","287"
"Alaska","2","0.45","0.25","0.75","16"
"Vermont","50","0.43","0.25","0.70","19"
"Connecticut","9","0.43","0.35","0.53","101"
"Illinois","17","0.43","0.39","0.48","332"
"Oklahoma","40","0.43","0.35","0.52","101"
"Texas","48","0.42","0.39","0.46","598"
"Utah","49","0.41","0.30","0.53","53"
"California","6","0.41","0.39","0.44","906"
"New York","36","0.41","0.37","0.44","500"
"Louisiana","22","0.40","0.33","0.49","109"
"Massachusetts","25","0.40","0.35","0.47","181"
"Missouri","29","0.40","0.34","0.47","160"
"New Jersey","34","0.39","0.34","0.45","226"
"Georgia","13","0.39","0.34","0.44","215"
"Nebraska","31","0.38","0.27","0.52","43"
"Kentucky","21","0.38","0.30","0.46","102"
"New Hampshire","33","0.38","0.26","0.55","35"
"Florida","12","0.38","0.35","0.42","606"
"Minnesota","27","0.38","0.32","0.46","134"
"Mississippi","28","0.37","0.29","0.48","69"
"North Dakota","38","0.37","0.22","0.60","19"
"Alabama","1","0.36","0.30","0.44","108"
"Nevada","32","0.34","0.26","0.44","60"
"Arizona","4","0.34","0.29","0.40","158"
"Colorado","8","0.33","0.27","0.40","102"
"Hawaii","15","0.32","0.22","0.46","31"
"Montana","30","0.28","0.16","0.44","19"
"Rhode Island","44","0.26","0.15","0.43","18"
"New Mexico","35","0.26","0.18","0.37","36"
"West Virginia","54","0.24","0.16","0.34","31"
"Wyoming","56","no data/suppressed","undefined","undefined","undefined"

"undefined"